id,gid,x,y,v_x,v_y,radius,time
0,0,10.158616,0.356502,-0.149671,0.027954,0.200000,0.050000
1,0,12.541904,0.591308,-0.129926,-0.004380,0.200000,0.050000
2,0,7.328617,-0.118137,0.131533,0.076885,0.200000,0.050000
3,0,6.797880,-0.864475,-0.133200,-0.481931,0.200000,0.050000
4,0,8.831235,0.704611,-0.076291,0.091971,0.200000,0.050000
5,0,5.244529,0.520838,0.417380,-0.275307,0.200000,0.050000
6,0,13.689010,-1.049466,-0.129796,0.007289,0.200000,0.050000
7,0,10.854900,-0.170834,-0.102009,-0.019778,0.200000,0.050000
8,0,13.306403,-0.537250,-0.129944,0.003814,0.200000,0.050000
9,0,8.022053,-0.224301,-0.149932,-0.073545,0.200000,0.050000
10,0,6.881204,0.236986,0.358085,0.348963,0.200000,0.050000
11,0,14.754404,-0.691021,-0.129921,0.004545,0.200000,0.050000
12,0,13.403403,0.595294,-0.129932,-0.004203,0.200000,0.050000
13,0,8.522669,0.131012,-0.072621,-0.015478,0.200000,0.050000
14,0,6.807833,-0.390311,-0.090131,0.491809,0.200000,0.050000
15,0,13.605610,1.020484,-0.129805,-0.007120,0.200000,0.050000
16,0,6.420984,0.045974,-0.493518,-0.080251,0.200000,0.050000
17,0,6.772791,0.888901,-0.132578,0.120089,0.200000,0.050000
18,0,9.491737,-0.438064,-0.133861,-0.008457,0.200000,0.050000
19,0,7.341905,-0.846767,0.192309,-0.147533,0.200000,0.050000
20,1,7.298880,7.706970,-0.023810,-0.127801,0.200000,0.050000
21,1,8.364611,-4.201477,-0.029780,-0.126543,0.200000,0.050000
22,1,7.111531,2.329550,-0.001176,-0.129995,0.200000,0.050000
23,1,9.086453,-3.082913,-0.037542,-0.124461,0.200000,0.050000
24,1,5.310845,5.483508,0.014099,-0.129233,0.200000,0.050000
25,1,8.411736,-2.035580,-0.022689,-0.128005,0.200000,0.050000
26,1,6.822040,6.561810,0.001397,-0.129992,0.200000,0.050000
27,1,5.171233,1.226207,0.084252,0.059548,0.200000,0.050000
28,1,4.810493,3.016487,0.018865,-0.125669,0.200000,0.050000
29,1,4.787605,0.711648,-0.497301,0.051886,0.200000,0.050000
30,1,7.602251,3.440139,-0.017581,-0.135016,0.200000,0.050000
31,1,7.275493,-4.351442,-0.006333,-0.129846,0.200000,0.050000
32,1,5.645693,2.233314,0.019267,-0.126927,0.200000,0.050000
33,1,7.976907,5.357623,-0.008253,-0.129738,0.200000,0.050000
34,1,4.927924,6.629850,0.016074,-0.129002,0.200000,0.050000
35,1,9.189327,3.775571,0.099949,-0.182180,0.200000,0.050000
36,1,6.196857,4.201830,0.007340,-0.129793,0.200000,0.050000
37,1,8.546051,3.856350,-0.133387,-0.125607,0.200000,0.050000
38,1,9.140888,4.628196,-0.008448,-0.073287,0.200000,0.050000
39,1,6.798979,8.862000,0.001385,-0.129993,0.200000,0.050000
0,0,10.145328,0.358072,-0.265760,0.031399,0.200000,0.100000
1,0,12.529561,0.590892,-0.246860,-0.008321,0.200000,0.100000
2,0,7.314485,-0.110357,-0.282625,0.155588,0.200000,0.100000
3,0,6.785403,-0.885686,-0.249532,-0.424238,0.200000,0.100000
4,0,8.823492,0.709787,-0.154859,0.103536,0.200000,0.100000
5,0,5.247796,0.514038,0.065341,-0.135985,0.200000,0.100000
6,0,13.676680,-1.048773,-0.246611,0.013848,0.200000,0.100000
7,0,10.844051,-0.171848,-0.216967,-0.020291,0.200000,0.100000
8,0,13.294058,-0.536888,-0.246894,0.007246,0.200000,0.100000
9,0,8.018770,-0.230490,-0.065676,-0.123777,0.200000,0.100000
10,0,6.889295,0.252849,0.161813,0.317262,0.200000,0.100000
11,0,14.742062,-0.690589,-0.246849,0.008635,0.200000,0.100000
12,0,13.391060,0.594895,-0.246871,-0.007986,0.200000,0.100000
13,0,8.515969,0.130909,-0.134007,-0.002054,0.200000,0.100000
14,0,6.798374,-0.372994,-0.189198,0.346322,0.200000,0.100000
15,0,13.593278,1.019808,-0.246629,-0.013527,0.200000,0.100000
16,0,6.400586,0.036501,-0.407961,-0.189479,0.200000,0.100000
17,0,6.760898,0.896293,-0.237857,0.147822,0.200000,0.100000
18,0,9.479882,-0.439106,-0.237098,-0.020852,0.200000,0.100000
19,0,7.343758,-0.855865,0.037044,-0.181965,0.200000,0.100000
20,1,7.296618,7.694829,-0.045239,-0.242822,0.200000,0.100000
21,1,8.361782,-4.213499,-0.056583,-0.240432,0.200000,0.100000
22,1,7.112425,2.318312,0.017883,-0.224760,0.200000,0.100000
23,1,9.082886,-3.094737,-0.071330,-0.236476,0.200000,0.100000
24,1,5.312184,5.471231,0.026787,-0.245543,0.200000,0.100000
25,1,8.409580,-2.047741,-0.043110,-0.243209,0.200000,0.100000
26,1,6.822173,6.549461,0.002654,-0.246986,0.200000,0.100000
27,1,5.173230,1.220012,0.039941,-0.123918,0.200000,0.100000
28,1,4.812297,3.004537,0.036079,-0.238981,0.200000,0.100000
29,1,4.766541,0.707617,-0.421275,-0.080616,0.200000,0.100000
30,1,7.599317,3.426478,-0.058679,-0.273228,0.200000,0.100000
31,1,7.274892,-4.363778,-0.012032,-0.246707,0.200000,0.100000
32,1,5.647552,2.224843,0.037172,-0.169415,0.200000,0.100000
33,1,7.976123,5.345298,-0.015680,-0.246502,0.200000,0.100000
34,1,4.929451,6.617595,0.030540,-0.245105,0.200000,0.100000
35,1,9.192805,3.760953,0.069550,-0.292350,0.200000,0.100000
36,1,6.197554,4.189500,0.013946,-0.246606,0.200000,0.100000
37,1,8.541212,3.845414,-0.096764,-0.218707,0.200000,0.100000
38,1,9.139566,4.618466,-0.026428,-0.194588,0.200000,0.100000
39,1,6.799111,8.849651,0.002632,-0.246986,0.200000,0.100000
0,0,10.127152,0.359506,-0.363533,0.028682,0.200000,0.150000
1,0,12.511956,0.590299,-0.352100,-0.011869,0.200000,0.150000
2,0,7.321960,-0.115156,0.149487,-0.095966,0.200000,0.150000
3,0,6.767693,-0.904290,-0.354214,-0.372072,0.200000,0.150000
4,0,8.811315,0.715798,-0.243555,0.120221,0.200000,0.150000
5,0,5.240689,0.506671,-0.142133,-0.147349,0.200000,0.150000
6,0,13.659092,-1.047786,-0.351746,0.019752,0.200000,0.150000
7,0,10.827957,-0.172830,-0.321880,-0.019625,0.200000,0.150000
8,0,13.276451,-0.536371,-0.352148,0.010335,0.200000,0.150000
9,0,8.005981,-0.238614,-0.255764,-0.162481,0.200000,0.150000
10,0,6.880565,0.282298,-0.174597,0.588977,0.200000,0.150000
11,0,14.724457,-0.689973,-0.352085,0.012316,0.200000,0.150000
12,0,13.373454,0.594325,-0.352116,-0.011390,0.200000,0.150000
13,0,8.505040,0.133911,-0.218577,0.060034,0.200000,0.150000
14,0,6.769172,-0.365419,-0.584023,0.151518,0.200000,0.150000
15,0,13.575690,1.018843,-0.351771,-0.019294,0.200000,0.150000
16,0,6.378195,0.024744,-0.447814,-0.235132,0.200000,0.150000
17,0,6.745780,0.903676,-0.302362,0.147668,0.200000,0.150000
18,0,9.464551,-0.440803,-0.306629,-0.033925,0.200000,0.150000
